Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2018,AK,"2,016",349,191,"1,476",880,"1,129",7,0,"1,914",102,683,156,39,878,76,184,132,11,121,0,0,129,3,61,13,1,50,1,6
2018,AL,"3,434",573,157,"2,704","1,399","2,025",9,1,"3,340",94,"1,664","1,604",6,23,5,132,339,22,316,0,1,332,7,137,191,0,0,1,10
2018,AR,"2,712",309,213,"2,190","1,113","1,593",5,1,"2,632",80,"1,647",916,12,36,4,97,251,37,214,0,0,249,2,140,97,2,4,0,8
2018,AS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018,AZ,"9,865","1,680",780,"7,405","3,460","6,354",34,17,"7,590","2,275","6,494","1,906",53,836,57,519,893,86,803,1,3,788,105,659,136,3,57,4,34
2018,CA,"129,972","13,936","12,678","103,358","42,491","85,810","1,252",419,"88,525","41,447","72,956","37,770","2,338","5,391","1,552","9,965","10,836","1,020","9,673",106,37,"8,844","1,992","6,192","3,071",167,448,115,843
2018,CO,"10,857","1,887",808,"8,162","3,880","6,926",28,23,"8,020","2,837","7,814","1,566",77,487,94,819,"1,073",70,"1,001",1,1,934,139,793,166,6,36,11,61
2018,CT,"3,976",967,254,"2,755","1,659","2,310",7,0,"2,615","1,361","2,156","1,482",17,92,16,213,190,15,174,1,0,164,26,112,71,1,2,0,4
2018,DC,"6,904","1,933",639,"4,332","2,960","3,903",33,8,"6,577",327,478,"6,286",39,40,15,46,306,32,271,3,0,288,18,53,235,1,4,0,13
2018,DE,"1,082",227,78,777,490,591,0,1,"1,012",70,406,616,6,12,2,40,70,6,64,0,0,69,1,28,39,0,1,0,2
