Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2023,AK,"2,614",361,227,"2,026",991,"1,600",16,7,"2,355",259,796,181,38,"1,151",99,349,119,15,104,0,0,111,8,52,14,0,43,0,10
2023,AL,"3,304",560,178,"2,566","1,258","2,010",23,13,"3,188",116,"1,349","1,787",12,37,11,108,291,26,265,0,0,283,8,119,160,0,4,0,8
2023,AR,"2,609",304,177,"2,128","1,006","1,580",13,10,"2,474",135,"1,696",733,7,50,30,93,205,19,183,1,2,200,5,138,52,0,3,0,12
2023,AS, , , ,, , , ,, , , , , , , , , , , , ,, , , , , , , , 
2023,AZ,"14,237","1,585",996,"11,656","4,893","9,186",52,106,"10,311","3,926","9,011","3,097",101,975,106,947,932,88,834,7,3,809,123,667,158,9,40,7,51
2023,CA,"181,399","15,499","11,840","126,563","60,459","117,492","1,919","1,529","114,448","66,951","96,385","53,369","7,012","8,589","3,413","12,631","10,589","1,549","8,871",72,97,"8,256","2,333","5,643","3,119",417,473,170,767
2023,CO,"14,439","2,291",771,"11,377","5,324","8,935",92,88,"10,671","3,768","9,655","2,431",135,829,402,987,"1,022",98,910,11,3,890,132,693,186,10,50,7,76
2023,CT,"3,015",583,236,"2,196","1,190","1,811",9,5,"2,083",932,"1,653","1,117",14,38,7,186,165,17,148,0,0,149,16,95,61,0,1,1,7
2023,DC,"4,922",715,521,"3,686","1,698","3,159",39,26,"4,439",483,587,"4,091",40,73,52,79,218,57,161,0,0,202,16,40,166,1,2,5,4
2023,DE,"1,245",335,66,844,551,687,3,4,"1,138",107,385,773,4,3,2,78,79,17,62,0,0,76,3,33,42,0,2,0,2
2023,FL,"30,756","4,797","1,518","24,441","11,636","18,953",68,99,"25,542","5,214","16,579","12,495",186,330,117,"1,049","2,558",229,"2,323",3,3,"2,297",261,"1,627",822,4,37,13,55
2023,GA,"12,294","2,349",642,"5,693","4,927","7,291",10,66,"11,612",682,"4,603","7,165",43,58,20,405,701,89,608,0,4,673,28,227,432,4,6,1,31
2023,GU,"1,075",311,94,670,479,595,0,1,"1,033",42,9,5,33,1,"1,005",22,24,6,18,0,0,22,2,0,3,1,1,19,0
2023,HI,"6,223",924,428,"4,871","2,419","3,740",36,28,"5,392",831,"1,295",246,603,50,"2,336","1,693",317,28,286,1,2,277,40,117,51,40,6,40,63
2023,IA,"2,653",516,180,"1,957","1,031","1,598",15,9,"2,407",246,"1,687",664,28,86,18,170,128,4,124,0,0,118,10,95,18,2,9,2,2
2023,ID,"2,298",461,133,"1,704",991,"1,298",5,4,"1,814",484,"1,902",50,8,160,21,157,182,17,164,1,0,174,8,156,8,0,14,1,3
2023,IL,"11,947","2,426","1,347","8,152","4,584","7,266",58,39,"8,363","3,584","5,535","5,583",197,143,62,427,523,42,478,1,2,488,35,186,316,8,5,0,8
2023,IN,"6,017","1,197",347,"4,473","2,510","3,460",15,32,"5,728",289,"3,684","1,962",27,39,36,269,488,46,437,2,3,473,15,305,154,2,5,5,17
2023,KS,"2,636",435,153,"2,048","1,012","1,607",8,9,"2,304",332,"1,795",540,12,78,14,197,199,20,177,1,1,188,11,140,38,1,7,1,12
2023,KY,"4,766",590,307,"3,869","1,799","2,928",18,21,"4,549",217,"3,386","1,131",16,36,11,186,417,30,387,0,0,401,16,270,125,1,8,1,12
2023,LA,"3,169",376,199,"2,594","1,052","2,083",17,17,"3,045",124,"1,179","1,885",15,28,13,49,249,15,233,0,1,243,6,94,146,0,2,1,6
2023,MA,"19,141","7,400","1,348","10,393","9,637","9,392",75,37,"12,440","6,701","9,223","8,659",181,126,134,818,545,70,471,2,2,491,54,403,113,3,11,0,15
2023,MD,"5,865","1,146",418,"4,301","2,355","3,474",21,15,"5,427",438,"1,945","3,521",64,96,29,210,291,20,270,1,0,282,9,92,188,1,4,2,4
2023,ME,"4,258","1,236",314,"2,708","2,129","2,077",38,14,"4,039",219,"2,044","2,013",17,34,5,145,123,11,111,0,1,119,4,102,9,0,5,2,5
2023,MI,"8,997","2,280",721,"5,806","3,847","5,082",32,36,"8,348",649,"4,278","3,981",51,101,20,566,484,38,443,2,1,470,14,230,224,0,5,2,23
2023,MN,"8,393","2,390",951,"5,052","3,917","4,399",35,42,"7,301","1,092","2,999","3,152",193,961,45,"1,043",336,40,295,0,1,316,20,193,81,20,25,3,14
2023,MO,"6,708","1,240",591,"4,877","2,775","3,862",31,40,"6,260",448,"3,811","2,399",40,90,67,301,569,55,508,4,2,545,24,329,198,2,13,1,26
2023,MP, , , ,, , , ,, , , , , , , , , , , , ,, , , , , , , , 
2023,MS,982,130,49,803,375,599,6,2,954,28,429,505,7,8,5,28,61,6,54,1,0,61,0,28,30,0,0,1,2
2023,MT,"2,178",296,217,"1,665",898,"1,259",7,14,"1,975",203,"1,480",63,10,461,18,146,207,23,184,0,0,186,21,157,7,0,22,1,20
2023,NC,"9,754","1,652",594,"7,508","3,930","5,762",32,30,"9,224",530,"4,094","5,045",60,155,36,364,777,78,693,1,5,763,14,359,377,3,14,1,23
2023,ND,784,137,84,563,277,495,6,6,717,67,352,102,9,276,0,45,27,2,25,0,0,24,3,19,2,0,5,0,1
2023,NE,"2,462",419,193,"1,850",931,"1,515",10,6,"2,134",328,"1,585",528,37,134,11,167,132,9,121,2,0,124,8,96,27,0,4,0,5
2023,NH,"2,441",443,175,"1,823","1,112","1,310",8,11,"2,226",215,"2,175",124,14,29,10,89,100,11,89,0,0,95,5,92,4,0,1,0,3
2023,NJ,"10,264","2,500",737,"7,027","4,550","5,668",24,22,"7,174","3,090","3,916","5,814",82,149,41,262,454,36,414,3,1,392,62,197,232,5,8,5,7
2023,NM,"3,842",678,283,"2,881","1,578","2,210",27,27,"1,868","1,974","2,456",400,24,719,81,162,256,33,220,1,2,166,90,162,34,3,35,12,10
2023,NV,"8,666",693,454,"7,519","2,810","5,774",7,75,"7,207","1,459","4,984","2,790",172,237,157,326,"1,094",92,994,1,7,989,105,666,318,21,33,10,46
2023,NY,"103,200","29,377","10,327","63,496","44,531","57,982",545,142,"53,543","49,657","29,552","65,791",873,946,294,"5,744","1,098",80,"1,009",8,1,891,207,460,595,5,14,9,15
2023,OH,"11,386","2,091",911,"8,384","4,608","6,692",49,37,"10,851",535,"5,917","4,765",40,91,38,535,623,38,581,3,1,604,19,367,237,0,3,5,11
2023,OK,"4,648",626,452,"3,570","1,748","2,798",18,84,"4,170",478,"2,642",991,24,621,45,325,288,25,261,0,2,264,24,196,46,0,25,6,15
2023,OR,"20,142","2,617","1,255","16,270","7,720","12,001",108,313,"17,560","2,582","15,563","1,559",153,996,375,"1,496","1,575",154,"1,397",8,16,"1,415",160,"1,285",93,8,69,14,106
2023,PA,"12,556","2,669",957,"8,930","5,003","7,433",49,71,"10,820","1,736","5,897","5,780",65,93,45,676,826,82,739,3,2,760,66,457,318,4,13,3,31
2023,PR,"2,242",95,87,"1,104",500,"1,654",4,84,62,"2,180","1,096",488,0,16,1,641,58,7,51,0,0,3,55,27,16,0,1,1,13
2023,RI,"1,810",376,81,"1,353",718,"1,069",12,11,"1,404",406,"1,140",436,12,33,4,185,100,10,90,0,0,94,6,71,21,1,3,0,4
2023,SC,"4,053",520,220,"3,313","1,482","2,553",11,7,"3,872",181,"1,980","1,863",12,38,8,152,393,19,374,0,0,379,14,152,212,1,6,1,21
2023,SD,"1,282",207,107,968,530,739,5,8,"1,194",88,372,63,7,779,9,52,58,5,53,0,0,55,3,26,1,1,23,0,7
2023,TN,"9,215","1,020",646,"7,549","3,411","5,712",45,47,"8,926",289,"5,718","3,101",30,85,10,271,759,65,694,0,0,730,29,438,287,0,9,0,25
2023,TX,"27,377","4,231","1,621","21,525","10,301","16,906",54,116,"18,849","8,528","16,277","9,668",246,416,96,674,"2,036",210,"1,815",2,9,"1,710",326,"1,149",768,11,47,8,53
2023,UT,"3,687",605,218,"2,864","1,385","2,235",15,52,"2,826",861,"2,805",329,39,218,95,201,181,14,166,0,1,156,25,138,20,2,5,6,10
2023,VA,"6,761","1,539",441,"4,781","2,794","3,914",26,27,"6,069",692,"2,681","3,434",133,60,18,435,386,46,334,6,0,364,22,156,199,1,6,1,23
2023,VI,252,1,3,248,64,187,0,1,225,27,23,219,2,2,0,6,9,0,9,0,0,7,2,1,8,0,0,0,0
2023,VT,"3,295",654,247,"2,394","1,454","1,810",7,24,"3,141",154,"2,835",266,36,83,6,69,122,7,114,0,1,116,6,98,13,0,3,1,7
2023,WA,"28,036","4,386","1,897","15,275","10,124","17,283",325,304,"23,795","4,241","17,046","4,694",343,"2,065","1,218","2,670","1,684",265,"1,380",25,14,"1,481",203,"1,065",279,14,128,55,143
2023,WI,"4,861","1,189",279,"3,393","1,999","2,814",29,19,"4,416",445,"2,739","1,592",51,211,12,256,335,13,322,0,0,323,12,223,91,2,8,2,9
2023,WV,"1,416",125,136,"1,155",548,849,10,9,"1,393",23,"1,210",137,2,11,2,54,91,2,89,0,0,90,1,74,13,0,2,0,2
2023,WY,532,37,62,433,158,372,0,2,462,70,419,47,14,22,2,28,90,2,88,0,0,90,0,82,4,0,1,1,2
,Total,"653,104","111,620","47,436","455,295","250,009","395,160","4,087","3,848","473,768","179,336","324,854","243,624","11,574","23,116","10,712","39,224","35,574","3,980","31,231",173,190,"30,885","4,689","20,287","11,136",608,"1,269",427,"1,847"
