Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2020,AK,"1,949",326,197,"1,426",828,"1,114",3,4,"1,823",126,634,137,22,890,40,226,94,9,85,0,0,86,8,50,11,1,23,0,9
2020,AL,"3,351",528,198,"2,625","1,294","1,988",9,4,"3,214",126,"1,462","1,755",2,37,11,73,329,22,307,0,0,324,5,152,166,0,1,2,8
2020,AR,"2,366",195,258,"1,913",798,"1,561",5,2,"2,313",53,"1,353",901,4,42,21,45,188,12,175,1,0,185,3,72,110,0,4,2,0
2020,AS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020,AZ,"10,979","1,722",824,"8,433","4,228","6,694",43,14,"8,624","2,355","6,901","2,289",77,"1,027",60,625,921,79,838,4,0,826,95,641,171,8,44,7,50
2020,CA,"161,548","16,141","13,391","132,016","53,505","105,737","1,601",705,"109,582","51,966","87,439","49,610","3,240","6,386","1,784","13,089","11,401","1,062","10,200",94,45,"9,345","2,056","6,494","3,157",186,433,131,"1,000"
2020,CO,"9,846","1,364",734,"7,748","3,198","6,562",53,33,"7,565","2,281","6,411","1,808",51,527,136,913,"1,044",99,939,2,4,908,136,712,185,6,46,16,79
2020,CT,"2,905",585,208,"2,112","1,107","1,785",6,7,"2,058",847,"1,519","1,065",16,34,10,261,199,14,185,0,0,177,22,116,75,1,4,0,3
2020,DC,"6,380","1,432",548,"4,400","2,577","3,746",48,9,"5,823",557,506,"5,618",38,26,20,172,302,35,265,1,1,255,47,38,255,1,2,0,6
2020,DE,"1,165",266,71,828,463,701,0,1,"1,064",101,412,678,3,7,1,64,78,10,68,0,0,74,4,36,39,0,2,0,1
2020,FL,"27,487","4,637","1,588","21,262","9,743","17,670",52,22,"23,442","4,045","15,102","11,042",128,328,73,814,"2,436",189,"2,241",5,1,"2,272",164,"1,550",791,13,32,6,44
2020,GA,"10,234","1,667",530,"8,037","3,743","6,340",44,107,"9,714",520,"3,031","6,708",92,64,21,318,764,89,672,1,2,730,34,241,501,0,8,0,14
2020,GU,790,291,81,418,357,431,2,0,771,19,21,3,14,1,727,24,21,2,19,0,0,19,2,3,2,1,0,13,2
2020,HI,"6,458","1,101",396,"4,961","2,521","3,874",36,27,"5,523",935,"1,469",295,564,83,"2,160","1,887",485,49,430,3,3,418,67,182,60,48,10,74,111
2020,IA,"2,647",535,200,"1,912",993,"1,642",9,3,"2,464",183,"1,760",596,19,121,9,142,154,10,144,0,0,150,4,119,21,3,5,0,6
2020,ID,"2,315",592,149,"1,574","1,035","1,276",3,1,"1,901",414,"1,904",52,13,230,17,99,178,18,158,2,0,165,13,162,2,0,5,1,8
2020,IL,"10,431","2,212",958,"7,261","4,300","6,096",32,3,"9,302","1,129","3,671","6,333",96,82,21,228,736,55,681,0,0,692,44,259,447,10,9,0,11
2020,IN,"5,625",978,352,"4,295","2,182","3,420",16,7,"5,278",347,"3,492","1,783",37,50,21,242,530,34,493,3,0,506,24,305,205,0,4,2,14
2020,KS,"2,449",407,213,"1,829",928,"1,516",3,2,"2,184",265,"1,512",553,15,96,2,271,203,13,190,0,0,197,6,145,38,0,14,0,6
2020,KY,"4,011",581,268,"3,162","1,607","2,393",8,3,"3,875",136,"2,826",996,19,22,20,128,399,27,372,0,0,389,10,251,139,0,2,2,5
2020,LA,"3,173",396,275,"2,502",967,"2,192",11,3,"3,085",88,"1,165","1,908",21,29,5,45,378,16,359,1,2,368,10,158,205,1,1,0,13
