Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2017,AK,"1,845",305,186,"1,354",765,"1,075",4,1,"1,743",102,641,147,20,770,69,198,124,6,118,0,0,119,5,55,11,0,47,1,10
2017,AL,"3,793",528,300,"2,965","1,314","2,453",21,5,"3,721",72,"1,587","2,064",9,21,1,111,269,18,250,0,1,264,5,128,138,0,1,0,2
2017,AR,"2,467",265,209,"1,993",965,"1,499",3,0,"2,405",62,"1,447",892,9,24,7,88,239,37,202,0,0,235,4,134,91,2,3,0,9
2017,AS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017,AZ,"8,947","1,607",660,"6,680","3,331","5,592",22,2,"6,876","2,071","6,086","1,611",51,704,46,449,970,87,880,2,1,862,108,716,152,6,51,4,41
2017,CA,"131,532","14,207","13,276","104,049","42,750","87,609",793,380,"90,040","41,492","68,784","42,282","2,490","5,663","1,459","10,854","11,436","1,077","10,279",47,33,"9,522","1,914","6,257","3,453",212,562,134,818
2017,CO,"10,940","2,164",913,"7,863","4,014","6,866",37,23,"8,142","2,798","7,778","1,788",51,546,45,732,"1,078",96,974,3,5,944,134,767,206,3,54,3,45
2017,CT,"3,388",736,259,"2,393","1,313","2,054",8,13,"2,415",973,"1,752","1,343",34,22,43,194,191,15,176,0,0,170,21,103,79,3,2,1,3
2017,DC,"7,473","2,286",682,"4,505","3,226","4,209",36,2,"6,979",494,481,"6,712",40,25,21,194,285,25,258,2,0,277,8,33,239,0,3,3,7
2017,DE,994,240,69,685,431,562,1,0,912,82,398,544,4,1,5,42,91,9,82,0,0,90,1,44,44,1,0,0,2
2017,FL,"32,190","5,624","2,599","23,967","11,311","20,721",78,80,"27,442","4,748","18,593","11,954",122,278,109,"1,134","2,817",252,"2,563",1,1,"2,593",224,"1,871",851,5,26,5,59
2017,GA,"10,174","1,646",697,"7,831","3,878","6,239",53,4,"9,752",422,"2,805","6,902",37,73,19,338,712,137,574,1,0,690,22,208,470,2,4,1,27
2017,GU,852,350,84,418,409,442,1,0,813,39,15,3,39,0,762,33,24,5,19,0,0,18,6,2,2,1,0,16,3
2017,HI,"7,220","1,575",497,"5,148","2,951","4,241",23,5,"6,255",965,"1,594",255,656,106,"2,901","1,708",615,57,556,2,0,548,67,239,71,73,10,125,97
2017,IA,"2,756",829,240,"1,687","1,186","1,565",4,1,"2,551",205,"1,654",795,19,74,13,201,171,16,154,1,0,164,7,126,31,1,5,1,7
2017,ID,"2,037",443,153,"1,441",809,"1,221",6,1,"1,769",268,"1,795",75,17,60,15,75,228,16,211,1,0,218,10,203,4,2,8,3,8
2017,IL,"10,798","2,455","1,106","7,237","4,391","6,372",31,4,"9,739","1,059","3,916","6,375",78,68,20,341,864,48,816,0,0,827,37,302,535,2,5,1,19
2017,IN,"5,438","1,177",355,"3,906","2,204","3,226",8,0,"5,205",233,"3,283","1,877",30,44,20,184,615,35,579,1,0,598,17,368,228,0,4,1,14
2017,KS,"2,287",553,138,"1,596",937,"1,346",1,3,"1,953",334,"1,514",489,13,104,11,156,217,13,204,0,0,205,12,165,38,1,4,1,8
2017,KY,"4,025",616,331,"3,078","1,509","2,507",9,0,"3,917",108,"2,829","1,009",18,18,2,149,489,25,464,0,0,475,14,315,165,3,0,0,6
2017,LA,"3,305",527,238,"2,540","1,054","2,233",14,4,"3,203",102,"1,267","1,921",12,28,11,66,383,8,374,1,0,378,5,171,203,0,2,2,5
2017,MA,"17,565","6,465","1,510","9,590","8,558","8,975",26,6,"11,034","6,531","10,006","5,830",173,82,80,"1,394",853,66,781,4,2,766,87,639,174,4,7,5,24
2017,MD,"7,247","1,370",422,"5,455","2,727","4,505",12,3,"6,842",405,"2,479","4,341",40,54,22,311,536,33,502,1,0,515,21,188,336,0,5,0,7
2017,ME,"2,280",590,191,"1,499","1,038","1,226",12,4,"2,192",88,"1,853",284,11,38,10,84,131,8,121,2,0,127,4,111,12,0,3,0,5
2017,MI,"9,051","2,340",782,"5,929","3,723","5,314",13,1,"8,554",497,"3,826","4,693",22,112,5,393,773,34,738,1,0,749,24,298,438,1,10,0,26
2017,MN,"7,668","2,590","1,103","3,975","3,617","4,029",17,5,"7,104",564,"2,685","3,296",110,"1,018",16,543,281,21,260,0,0,271,10,161,86,2,15,1,16
2017,MO,"6,037","1,537",643,"3,857","2,786","3,226",18,7,"5,746",291,"3,063","2,561",20,74,11,308,538,39,497,1,1,517,21,298,211,2,8,0,19
2017,MP,672,185,68,419,314,358,0,0,671,1,0,0,159,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,MS,"1,472",252,60,"1,160",573,891,1,7,"1,461",11,611,811,4,29,0,17,57,7,50,0,0,57,0,30,26,0,1,0,0
2017,MT,"1,529",340,124,"1,065",624,898,4,3,"1,408",121,992,33,4,354,9,137,205,14,191,0,0,194,11,175,2,0,14,2,12
2017,NC,"8,962","1,883",571,"6,508","3,567","5,380",9,6,"8,444",518,"3,745","4,553",37,190,17,420,931,62,869,0,0,907,24,396,480,3,15,0,37
2017,ND,"1,089",178,84,827,272,811,2,4,"1,046",43,367,127,6,226,0,363,74,3,71,0,0,72,2,51,6,1,12,0,4
2017,NE,"2,501",501,225,"1,775",918,"1,580",3,0,"2,237",264,"1,664",579,20,122,4,112,174,5,168,1,0,170,4,137,27,2,6,0,2
2017,NH,"1,456",389,126,941,646,805,3,2,"1,320",136,"1,266",77,11,5,0,97,124,13,111,0,0,122,2,115,4,0,0,0,5
2017,NJ,"8,536","1,945",761,"5,830","3,442","5,074",17,3,"6,750","1,786","3,526","4,621",75,96,38,180,583,42,539,2,0,527,56,281,281,3,7,1,10
2017,NM,"2,482",471,130,"1,881",897,"1,545",19,21,"1,446","1,036","1,513",142,10,651,9,157,248,27,221,0,0,188,60,164,23,2,48,0,11
2017,NV,"7,833",608,"1,936","5,289","2,273","5,536",23,1,"6,770","1,063","4,610","2,326",182,225,75,415,832,111,719,2,0,756,76,524,229,20,16,9,34
2017,NY,"89,503","30,098","9,111","50,294","42,528","46,643",321,11,"60,095","29,408","19,894","61,463","1,056",729,"1,191","5,170","1,244",90,"1,150",3,1,"1,069",175,542,651,5,9,2,35
2017,OH,"10,095","2,234",858,"7,003","3,998","6,067",23,7,"9,720",375,"4,933","4,562",26,49,23,502,862,45,815,2,0,841,21,462,370,0,7,5,18
2017,OK,"4,199",867,378,"2,954","1,702","2,485",10,2,"3,892",307,"2,594",767,8,577,17,236,349,32,316,1,0,338,11,234,59,0,44,1,11
2017,OR,"13,953","2,636","1,160","10,157","5,493","8,368",67,25,"12,444","1,509","11,326",832,79,588,175,953,"1,251",120,"1,122",6,3,"1,169",82,"1,015",86,3,54,7,86
2017,PA,"14,138","3,755","1,260","9,123","5,999","8,063",66,10,"12,696","1,442","5,864","7,450",77,47,39,661,963,84,878,1,0,922,41,500,421,5,8,1,28
2017,PR,"3,525",218,199,"3,108",841,"2,676",5,3,77,"3,448","1,612",633,2,17,11,"1,250",94,4,90,0,0,8,86,49,22,0,0,1,22
2017,RI,"1,180",236,78,866,430,743,7,0,917,263,762,309,8,16,3,82,95,1,94,0,0,89,6,74,19,0,1,0,1
2017,SC,"3,916",642,227,"3,047","1,451","2,453",10,2,"3,828",88,"1,532","2,205",8,32,4,135,480,45,433,1,1,471,9,220,238,1,5,1,15
2017,SD,943,215,62,666,412,529,2,0,901,42,310,44,3,563,8,15,130,12,118,0,0,123,7,68,6,0,53,0,3
2017,TN,"8,309","1,364",543,"6,402","3,256","5,043",7,3,"8,092",217,"4,775","3,205",34,61,6,228,757,49,708,0,0,740,17,377,365,0,4,0,11
2017,TX,"23,548","4,286","1,750","17,512","8,861","14,546",47,94,"16,942","6,606","13,076","8,928",253,325,68,898,"2,200",411,"1,783",5,1,"1,759",441,"1,256",838,7,31,13,55
2017,UT,"2,852",637,203,"2,012","1,083","1,762",7,0,"2,210",642,"2,202",282,27,159,47,135,220,10,209,1,0,200,20,179,18,1,13,0,9
2017,VA,"6,067","1,299",415,"4,353","2,315","3,738",9,5,"5,516",551,"2,417","3,241",84,32,22,271,478,47,431,0,0,458,20,204,262,1,3,0,8
2017,VI,381,9,5,367,73,298,0,10,332,49,54,311,1,5,3,7,23,2,21,0,0,16,7,2,19,0,2,0,0
2017,VT,"1,225",306,142,777,561,657,5,2,"1,165",60,"1,093",79,7,6,2,38,94,6,88,0,0,92,2,88,4,0,1,1,0
2017,WA,"21,112","4,109","2,296","14,707","8,220","12,631",154,107,"18,260","2,852","12,340","4,167",321,"1,285",484,"2,515","2,093",117,"1,940",34,2,"1,935",158,"1,317",420,28,106,23,199
2017,WI,"5,027","1,546",431,"3,050","2,267","2,746",12,2,"4,635",392,"2,753","1,643",69,195,13,354,329,17,311,1,0,316,13,222,86,1,4,1,15
2017,WV,"1,309",166,87,"1,056",462,846,1,0,"1,288",21,"1,062",214,2,5,3,23,137,9,128,0,0,136,1,108,25,0,1,0,3
2017,WY,873,129,59,685,300,570,3,0,767,106,651,43,2,145,8,24,63,3,60,0,0,59,4,53,5,1,3,0,1
,Total,"550,996","114,529","50,992","385,475","214,975","333,049","2,088",884,"432,634","118,362","259,675","223,690","6,700","16,741","8,515","35,675","40,020","3,571","36,266",131,52,"35,876","4,144","22,745","13,260",410,"1,307",376,"1,922"
