Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2019,AK,"1,907",335,204,"1,368",761,"1,137",6,3,"1,802",105,667,164,36,764,73,203,111,6,105,0,0,102,9,61,13,3,25,0,9
2019,AL,"3,261",629,199,"2,433","1,383","1,873",3,2,"3,161",100,"1,380","1,741",7,55,9,69,292,23,268,1,0,285,7,123,155,0,6,0,8
2019,AR,"2,717",303,317,"2,097","1,022","1,688",4,3,"2,657",60,"1,651",902,4,36,24,100,238,24,212,1,1,237,1,140,91,0,0,0,7
2019,AS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019,AZ,"10,007","1,602",708,"7,697","3,683","6,297",16,11,"7,683","2,324","6,316","1,908",48,919,59,757,910,72,834,2,2,822,88,669,154,6,43,7,31
2019,CA,"151,278","14,305","12,673","124,300","50,467","98,404","1,764",643,"103,759","47,519","82,164","44,086","2,606","6,797","2,177","13,448","10,980","1,104","9,719",111,46,"8,869","2,111","6,190","3,139",150,493,125,883
2019,CO,"9,619","1,458",685,"7,476","3,238","6,289",54,38,"7,410","2,209","6,251","1,678",65,586,100,939,"1,068",85,975,7,1,933,135,745,171,9,55,11,77
2019,CT,"3,033",588,272,"2,173","1,133","1,895",4,1,"2,135",898,"1,561","1,150",15,24,53,230,195,13,182,0,0,166,29,109,77,1,1,0,7
2019,DC,"6,521","1,606",546,"4,369","2,649","3,823",40,9,"6,205",316,413,"5,829",32,42,19,186,297,39,256,0,2,288,9,36,246,1,1,0,13
2019,DE,921,220,83,618,373,546,1,1,838,83,372,478,2,4,10,55,65,2,63,0,0,61,4,33,23,0,2,0,7
2019,FL,"28,328","4,703","1,625","22,000","9,884","18,357",67,20,"24,632","3,696","15,580","11,575",108,233,92,740,"2,472",196,"2,270",6,0,"2,298",174,"1,558",830,5,33,5,41
2019,GA,"10,443","1,679",642,"8,122","3,765","6,610",57,11,"9,900",543,"3,175","6,804",62,70,17,315,801,96,701,1,3,778,23,228,536,1,9,1,26
2019,GU,875,334,95,446,427,448,0,0,825,50,13,5,31,3,791,32,23,1,22,0,0,17,6,2,1,0,2,15,3
2019,HI,"6,412","1,177",323,"4,912","2,591","3,778",37,6,"5,557",855,"1,445",237,562,42,"2,013","2,113",505,53,448,3,1,454,51,185,54,54,8,78,126
2019,IA,"2,315",495,187,"1,633",917,"1,395",2,1,"2,118",197,"1,531",566,20,91,8,99,149,8,141,0,0,144,5,119,25,1,1,1,2
2019,ID,"2,315",473,220,"1,622",920,"1,392",0,3,"2,058",257,"1,903",73,12,165,33,129,201,22,178,0,1,188,13,183,8,0,7,1,2
2019,IL,"10,199","2,355",926,"6,918","4,241","5,914",31,13,"9,167","1,032","3,579","6,218",90,67,21,224,690,39,648,3,0,604,86,274,399,5,6,1,5
2019,IN,"5,471","1,092",327,"4,052","2,205","3,246",15,5,"5,227",244,"3,289","1,932",25,44,18,163,572,48,524,0,0,554,18,330,222,2,6,0,12
2019,KS,"2,381",383,150,"1,848",932,"1,445",1,3,"2,135",246,"1,518",526,18,116,24,179,189,23,166,0,0,178,11,145,27,1,4,1,11
2019,KY,"4,079",629,308,"3,142","1,584","2,492",3,0,"3,932",147,"2,867",959,11,23,5,214,447,26,421,0,0,434,13,298,138,1,0,0,10
2019,LA,"2,941",375,182,"2,384",867,"2,058",9,7,"2,860",81,"1,137","1,706",7,34,7,50,360,11,348,1,0,350,10,153,192,1,2,2,10
2019,MA,"18,471","7,357","1,540","9,574","9,118","9,311",28,14,"11,091","7,380","9,679","6,436",164,125,91,"1,976",917,68,847,1,1,823,94,629,206,21,29,4,28
2019,MD,"6,561","1,214",399,"4,948","2,490","4,047",22,2,"6,292",269,"2,385","3,778",46,45,26,281,490,35,455,0,0,479,11,187,296,1,0,1,5
2019,ME,"2,106",541,147,"1,418",995,"1,094",13,4,"2,006",100,"1,581",375,9,43,6,92,116,12,104,0,0,113,3,95,8,1,2,0,10
2019,MI,"8,575","2,231",712,"5,632","3,532","5,026",13,4,"7,989",586,"3,740","4,286",41,95,13,400,599,28,569,1,1,583,16,263,305,2,4,0,25
2019,MN,"7,977","2,157",900,"4,920","3,554","4,385",29,9,"7,396",581,"2,785","3,453",109,940,57,633,297,20,277,0,0,288,9,173,92,3,19,4,6
2019,MO,"6,179","1,359",545,"4,275","2,696","3,451",20,12,"5,872",307,"3,164","2,568",29,74,25,319,488,31,456,1,0,446,42,279,182,1,10,1,15
2019,MP,"1,807",586,191,"1,030",837,970,0,0,"1,807",0,1,1,494,0,"1,281",30,4,2,2,0,0,4,0,0,0,0,0,4,0
2019,MS,"1,184",152,55,977,417,752,0,15,"1,156",28,561,574,6,6,1,36,72,3,69,0,0,70,2,33,39,0,0,0,0
2019,MT,"1,357",250,111,996,555,793,4,5,"1,211",146,905,36,8,234,12,162,205,17,188,0,0,191,14,148,4,0,22,4,27
2019,NC,"9,314","1,553",532,"7,229","3,576","5,716",12,10,"8,903",411,"3,992","4,832",31,94,19,346,907,60,846,1,0,898,9,397,469,0,6,1,34
2019,ND,557,127,74,356,178,378,1,0,475,82,322,90,1,101,7,36,49,0,49,0,0,48,1,42,2,0,5,0,0
2019,NE,"2,365",423,185,"1,757",866,"1,494",4,1,"2,104",261,"1,580",546,13,73,4,149,175,13,162,0,0,169,6,138,28,2,4,0,3
