Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2014,NH,"1,376",329,139,908,560,803,1,,"1,282",82,"1,242",58,4,9,0,51,171,17,152,1,,169,1,158,10,0,1,0,1
2014,NJ,"11,671","3,287","1,198","7,186","5,185","6,480",2,,"9,264","2,403","5,051","6,037",76,86,43,374,630,48,582,0,,568,61,275,324,6,5,3,16
2014,NM,"2,746",750,243,"1,753",897,"1,421",0,,"1,306","1,012","1,378",200,15,536,17,172,318,28,239,0,,159,99,176,33,0,39,1,9
2014,NV,"8,582","1,542","1,206","5,834","2,854","5,692",36,,"6,844","1,738","4,183","2,980",139,141,92,"1,047","1,036",133,897,6,,858,178,618,299,15,19,13,72
2014,NY,"80,590","28,588","8,608","43,394","38,134","42,329",108,,"54,566","26,005","19,012","58,453",823,768,656,859,"2,542",331,"2,209",1,,"2,079",462,956,"1,460",26,23,18,58
2014,OH,"11,823","2,599","1,236","7,988","4,497","7,140",9,,"11,144",502,"5,994","4,979",16,54,19,584,"1,236",81,"1,093",0,,"1,155",19,633,511,2,5,2,21
2014,OK,"4,191",749,420,"3,022","1,699","2,490",2,,"4,048",143,"2,653",840,14,503,10,171,408,11,397,0,,400,8,287,72,2,33,0,14
2014,OR,"12,164","2,685","1,174","8,305","3,739","4,692",13,,"6,934","1,510","6,523",564,63,346,173,775,"1,292",118,781,0,,794,74,681,82,5,27,3,70
2014,PA,"15,333","4,287","1,775","9,271","6,614","8,595",89,,"13,709","1,589","6,215","8,034",58,82,17,892,"1,411",109,"1,298",2,,"1,337",71,716,627,3,7,4,51
2014,PR,"4,132",398,209,"3,525",457,945,4,,26,"1,380",599,133,0,14,24,636,87,2,44,0,,4,41,29,7,0,1,0,8
2014,RI,"1,190",251,99,840,462,727,1,,932,258,786,280,6,11,6,101,108,7,101,0,,101,7,77,24,0,1,0,6
2014,SC,"5,057",858,366,"3,833","2,249","2,787",21,,"4,871",186,"2,111","2,611",10,57,6,262,703,59,644,0,,687,16,298,365,2,11,0,27
2014,SD,885,247,79,559,361,524,0,,830,55,409,63,2,410,0,1,132,4,128,0,,129,3,72,6,0,54,0,0
2014,TN,"9,415","1,390",738,"7,287","3,713","5,698",4,,"9,224",191,"5,711","3,515",27,27,17,118,"1,142",145,996,1,,"1,061",81,672,453,0,6,0,11
2014,TX,"28,495","5,873","2,143","20,479","10,511","17,753",50,,"19,627","8,687","15,610","10,825",307,497,146,929,"2,718",501,"2,166",3,,"2,189",473,"1,495","1,030",17,52,4,64
2014,UT,"3,081",880,207,"1,994","1,232","1,845",4,,"2,385",696,"2,518",253,39,156,35,80,317,15,302,0,,294,23,279,23,1,11,1,2
2014,VA,"7,020","1,750",599,"4,671","2,829","4,182",9,,"6,362",658,"2,859","3,639",100,34,8,380,620,83,537,0,,603,17,256,347,1,4,0,12
2014,VI,448,14,16,418,35,50,0,,70,15,8,76,0,0,0,1,32,2,1,0,,0,1,0,1,0,0,0,0
2014,VT,"1,559",422,197,940,717,842,0,,"1,507",52,"1,430",108,3,11,5,2,120,8,112,0,,118,2,115,4,0,1,0,0
2014,WA,"18,442","4,360","1,752","12,330","6,796","8,884",26,,"13,242","2,464","9,623","2,942",254,561,326,"2,000","1,433",109,"1,229",4,,"1,264",76,939,248,14,33,19,87
2014,WI,"6,055","1,970",624,"3,461","2,783","3,266",6,,"5,593",462,"3,325","2,146",65,167,11,341,520,22,497,1,,509,11,370,131,0,8,0,11
2014,WV,"2,013",298,182,"1,533",740,"1,272",1,,"1,934",79,"1,532",336,9,24,3,109,333,22,311,0,,318,15,226,93,1,2,1,10
2014,WY,757,182,71,504,294,462,1,,655,102,548,41,2,108,0,58,116,6,110,0,,105,11,96,7,0,8,0,5
2015,AK,"1,956",411,197,"1,348",773,"1,181",2,0,"1,862",94,745,144,18,883,62,104,180,12,168,0,,172,8,101,19,1,54,1,4
2015,AL,"3,970",716,271,"2,983","1,532","2,427",11,0,"3,901",69,"1,813","2,090",5,19,1,42,474,26,447,1,,465,9,203,261,0,5,0,5
2015,AR,"2,560",417,243,"1,900",978,"1,582",0,0,"2,143",417,"1,543",903,7,32,29,46,456,104,352,0,,365,91,295,143,0,12,4,2
2015,AS, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2015,AZ,"9,896","2,124",824,"6,948","3,966","5,916",14,0,"7,516","2,380","6,697","1,761",57,849,57,475,"1,220",162,"1,056",2,,809,411,907,154,10,107,5,37
2015,CA,"115,738","13,657","11,645","90,436","38,676","76,545",517,0,"84,183","31,555","64,340","32,262","2,146","4,762","1,225","11,003","11,311","1,071","10,192",48,,"9,602","1,709","6,340","3,135",129,442,104,"1,161"
2015,CO,"9,953","2,528",808,"6,617","3,923","6,012",18,0,"7,006","2,947","6,638","1,948",90,477,34,766,950,77,866,7,,811,139,704,133,7,63,2,41
2015,CT,"4,047",827,234,"2,986","1,505","2,535",7,0,"2,923","1,124","2,164","1,570",38,50,124,101,282,23,258,1,,245,37,154,116,4,2,4,2
2015,DC,"7,298","2,056",736,"4,506","3,087","4,198",13,0,"6,914",384,443,"6,595",62,28,12,158,408,43,365,0,,390,18,62,332,4,6,1,3
2015,DE,953,227,81,645,400,553,0,0,899,54,369,513,3,11,3,54,79,5,74,0,,75,4,33,44,0,0,0,2
2015,FL,"35,900","6,539","2,451","26,910","12,719","23,122",59,0,"30,912","4,988","20,921","13,165",122,376,112,"1,204","3,926",288,"3,636",2,,"3,664",262,"2,550","1,222",10,49,9,86
2015,GA,"13,790","2,500",812,"10,478","4,878","8,882",30,0,"13,089",701,"4,307","8,955",40,30,51,407,"1,548",154,"1,394",0,,"1,505",43,512,976,3,2,5,50
2015,GU,"1,280",520,123,637,609,671,0,0,"1,274",6,11,4,46,1,"1,191",27,23,0,23,0,,23,0,5,1,0,0,16,1
2015,HI,"7,620","1,918",531,"5,171","3,174","4,426",20,0,"6,679",941,"1,852",263,477,95,"2,978","1,955",692,74,617,1,,621,71,300,64,63,20,124,121
2015,IA,"3,081","1,030",318,"1,733","1,409","1,668",4,0,"2,833",248,"1,972",803,16,68,17,205,207,26,180,1,,200,7,158,42,1,3,1,2
2015,ID,"1,966",484,160,"1,322",840,"1,123",3,0,"1,729",237,"1,733",69,11,109,16,28,249,24,225,0,,239,10,231,7,2,7,1,1
2015,IL,"13,177","3,187","1,349","8,641","5,291","7,866",20,0,"11,378","1,799","4,690","7,798",100,53,20,516,"1,226",60,"1,166",0,,809,417,482,714,0,6,1,23
2015,IN,"5,863","1,261",492,"4,110","2,359","3,497",7,0,"5,647",216,"3,496","2,085",17,44,16,205,790,41,747,2,,769,21,479,277,4,9,3,18
2015,KS,"2,588",705,175,"1,708","1,132","1,453",3,0,"2,320",268,"1,664",639,12,108,8,157,311,27,284,0,,290,21,210,81,0,8,0,12
