Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2021,OK,"2,694",438,258,"1,998","1,078","1,599",7,10,"2,464",230,"1,646",530,17,295,11,195,199,15,182,1,1,192,7,132,40,2,13,0,12
2021,OR,"9,048",992,672,"7,384","3,325","5,629",43,51,"7,991","1,057","7,268",542,49,439,132,618,"1,000",66,932,2,0,902,98,820,67,3,37,4,69
2021,PA,"10,339","2,468",789,"7,031","4,356","5,882",35,15,"8,941","1,324","4,435","5,209",40,48,43,490,782,64,718,0,0,730,52,427,333,3,3,5,11
2021,PR,439,55,18,366,151,284,4,0,14,425,200,80,2,5,0,152,5,0,5,0,0,1,4,1,1,0,0,0,3
2021,RI,"1,267",290,96,881,522,739,6,0,960,307,777,320,5,22,9,134,97,2,94,1,0,93,4,77,15,1,0,1,3
2021,SC,"3,207",504,215,"2,245","1,182","1,774",6,2,"2,871",93,"1,236","1,577",8,22,5,116,309,26,283,0,0,301,8,126,171,0,2,0,10
2021,SD,817,200,88,529,356,458,1,2,768,49,256,56,7,479,5,14,31,5,26,0,0,30,1,9,2,0,19,0,1
2021,TN,"6,823",765,342,"5,429","2,298","4,026",11,20,"6,195",160,"4,147","2,017",19,28,11,133,557,53,504,0,0,555,2,298,249,0,3,0,7
2021,TX,"17,295","2,981","1,218","13,080","6,647","10,562",54,16,"13,010","4,269","9,238","7,166",156,173,66,480,"1,279",107,"1,169",0,3,"1,120",159,674,553,5,12,6,29
2021,UT,"3,565",496,153,"1,761","1,035","1,357",10,8,"1,858",552,"1,889",252,26,102,44,97,129,7,120,1,1,113,16,105,14,0,3,2,5
2021,VA,"5,812","1,190",336,"4,160","2,353","3,310",17,6,"5,191",495,"2,282","2,905",108,34,18,339,348,43,304,1,0,340,8,148,175,3,2,1,19
2021,VI,177,1,1,175,50,127,0,0,162,15,5,166,2,2,0,2,6,0,6,0,0,5,1,0,6,0,0,0,0
2021,VT,"2,591",360,267,"1,964","1,167","1,410",8,6,"2,480",111,"2,266",179,25,31,4,86,103,7,96,0,0,100,3,95,1,0,2,0,5
2021,WA,"11,511","2,811",907,"7,793","4,957","6,436",77,41,"9,703","1,808","6,871","2,595",184,594,372,895,832,76,750,5,1,768,64,557,179,11,36,9,40
2021,WI,"4,237","1,107",235,"2,895","1,816","2,399",15,7,"3,862",375,"2,352","1,374",27,194,18,272,297,15,281,1,0,287,10,208,72,0,6,1,10
2021,WV,"1,138",100,80,958,438,695,4,1,"1,115",23,934,140,4,7,3,50,95,7,88,0,0,94,1,76,17,0,0,1,1
2021,WY,405,116,32,257,239,165,0,1,375,30,360,8,0,13,10,14,19,0,19,0,0,16,3,16,3,0,0,0,0
,Total,"380,630","84,259","28,289","259,107","155,990","212,835","1,544",627,"290,184","80,459","173,389","159,975","4,210","10,030","4,894","19,910","22,030","1,716","20,101",36,19,"19,949","1,923","12,525","7,769",158,493,169,758
