Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2022,AK,"2,320",328,203,"1,789",892,"1,417",8,3,"2,206",114,818,121,42,851,186,302,134,17,117,0,0,129,5,56,13,0,49,0,16
2022,AL,"3,752",790,217,"2,745","1,633","2,099",13,7,"3,545",173,"1,411","2,151",20,32,7,131,308,28,280,0,0,303,5,126,172,0,2,0,8
2022,AR,"2,459",243,243,"1,973",861,"1,589",4,5,"2,187",272,"1,681",645,16,52,5,60,92,8,84,0,0,91,1,56,26,0,3,2,5
2022,AS, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2022,AZ,"13,553","1,723","1,084","10,746","4,884","8,594",37,38,"10,122","3,431","8,811","2,740",87,939,107,869,857,93,762,1,1,760,97,611,148,5,44,1,48
2022,CA,"171,521","15,439","10,896","145,186","58,137","110,089","1,698","1,597","107,965","63,556","93,943","52,110","4,003","7,210","2,492","11,763","10,395","1,177","9,065",60,93,"8,096","2,299","5,984","2,885",246,413,197,670
2022,CO,"10,397","1,339",575,"8,483","3,884","6,374",67,72,"7,853","2,544","6,837","1,741",55,600,213,951,738,84,637,10,7,629,109,526,129,6,21,14,42
2022,CT,"2,930",560,205,"2,165","1,177","1,747",5,1,"2,002",928,"1,564","1,135",18,32,18,163,149,19,130,0,0,130,19,85,55,0,3,1,5
2022,DC,"4,410",600,509,"3,301","1,636","2,722",36,16,"4,155",255,403,"3,764",35,39,15,154,208,51,157,0,0,196,12,35,165,1,1,0,6
2022,DE,"2,369",769,200,"1,400","1,129","1,234",2,4,"2,218",151,761,"1,454",14,6,2,132,93,15,77,0,1,89,4,44,45,1,0,0,3
2022,FL,"25,959","4,189","1,222","20,548","9,225","16,656",43,35,"21,654","4,305","14,152","10,474",106,249,153,825,"2,279",203,"2,070",4,2,"2,128",151,"1,441",734,10,31,10,53
2022,GA,"10,689","1,785",616,"8,288","4,193","6,444",16,36,"10,073",616,"4,262","6,051",44,45,22,265,664,73,591,0,0,643,21,209,426,4,8,2,15
2022,GU,"1,087",374,114,599,505,581,1,0,"1,065",22,14,1,27,0,"1,014",31,31,9,22,0,0,31,0,3,1,0,0,26,1
2022,HI,"5,967",865,305,"4,797","2,291","3,626",41,9,"5,209",758,"1,326",227,545,61,"2,239","1,569",306,33,271,1,1,265,41,121,26,28,8,59,64
2022,IA,"2,419",485,165,"1,769",931,"1,472",7,9,"2,176",243,"1,594",532,46,85,10,152,141,7,134,0,0,139,2,104,23,2,2,1,9
2022,ID,"1,998",459,132,"1,407",867,"1,123",6,2,"1,631",367,"1,716",47,10,123,20,82,149,14,133,2,0,134,15,130,7,1,3,1,7
2022,IL,"9,212","1,902",897,"6,413","3,620","5,533",37,22,"8,134","1,078","3,344","5,389",69,65,22,323,524,32,488,4,0,499,25,180,327,2,4,0,11
2022,IN,"5,449","1,012",335,"4,102","2,207","3,214",14,14,"5,175",274,"3,265","1,862",37,60,29,196,482,42,439,0,1,471,11,307,154,2,5,4,10
2022,KS,"2,397",369,161,"1,867",943,"1,427",12,15,"2,132",265,"1,582",500,10,75,11,219,218,21,195,0,2,203,15,155,44,2,5,0,12
2022,KY,"3,984",608,279,"3,097","1,555","2,409",13,7,"3,815",169,"2,887",899,10,28,18,142,328,23,302,3,0,314,14,201,107,0,8,1,11
2022,LA,"7,373","2,262",211,"4,900","3,198","4,144",13,18,"6,982",391,"2,200","5,054",16,35,13,55,322,28,292,1,1,317,5,126,190,3,1,1,1
2022,MA,"15,507","5,977","1,187","8,343","7,762","7,669",33,43,"9,727","5,780","8,588","5,855",144,84,111,725,534,57,474,3,0,492,42,381,123,1,11,2,16
