Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2016,AK,"1,940",274,173,"1,493",808,"1,127",5,,"1,797",143,739,147,44,786,53,171,168,12,156,0,,165,3,77,20,0,61,0,10
2016,AL,"4,111",681,304,"3,126","1,733","2,366",12,,"4,027",84,"1,714","2,251",4,49,8,85,373,18,355,0,,371,2,177,187,0,3,1,5
2016,AR,"2,463",432,197,"1,834","1,047","1,415",1,,"2,377",86,"1,451",894,10,21,8,79,222,19,202,1,,218,4,126,87,0,5,3,1
2016,AS, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2016,AZ,"9,707","2,022",733,"6,952","3,685","6,005",17,,"7,342","2,365","6,562","1,792",53,809,67,424,"1,036",81,950,5,,909,127,773,158,4,64,3,34
2016,CA,"118,142","12,828","12,160","93,154","39,175","78,121",846,,"85,437","32,705","67,669","32,434","1,836","4,179","1,284","10,740","9,612",807,"8,673",132,,"7,971","1,641","5,727","2,572",103,347,78,785
2016,CO,"10,550","2,327",983,"7,240","4,103","6,393",54,,"7,603","2,947","7,239","1,882",78,527,61,763,"1,181",124,"1,056",1,,"1,021",160,869,217,4,45,6,40
2016,CT,"3,902",831,203,"2,868","1,458","2,440",4,,"2,796","1,106","2,095","1,535",32,54,73,113,216,16,199,1,,184,32,115,93,1,3,2,2
2016,DC,"8,350","2,732",920,"4,698","3,802","4,512",36,,"7,916",434,439,"7,689",35,38,16,133,350,50,300,0,,343,7,48,294,2,5,1,0
2016,DE,"1,070",196,69,805,411,658,1,,"1,011",59,406,617,1,1,3,42,107,5,102,0,,105,2,38,65,0,0,2,2
2016,FL,"33,559","6,140","2,238","25,181","11,789","21,740",30,,"28,855","4,704","19,369","12,594",116,294,73,"1,113","2,902",207,"2,686",9,,"2,705",197,"1,845",950,3,31,5,68
2016,GA,"12,909","2,237",907,"9,765","4,507","8,376",26,,"12,266",643,"3,822","8,571",54,64,51,347,"1,055",121,934,0,,"1,030",25,358,655,1,5,0,36
2016,GU,"1,085",470,103,512,529,555,1,,"1,061",24,11,4,17,0,"1,033",20,21,0,21,0,,18,3,3,3,0,0,15,0
2016,HI,"7,921","1,941",531,"5,449","3,243","4,641",37,,"6,989",932,"1,820",269,396,114,"3,374","1,948",670,55,613,2,,602,68,271,62,43,16,137,141
2016,IA,"3,064","1,013",285,"1,766","1,403","1,659",2,,"2,766",298,"1,869",898,18,73,5,201,170,14,156,0,,164,6,125,34,2,5,1,3
2016,ID,"2,247",578,195,"1,474",966,"1,278",3,,"1,976",271,"1,928",76,9,133,23,78,267,16,250,1,,255,12,239,9,0,13,2,4
2016,IL,"11,590","2,892","1,130","7,568","4,746","6,813",31,,"10,341","1,249","4,214","6,858",123,54,18,323,949,67,882,0,,898,51,350,581,0,7,1,10
2016,IN,"5,798","1,319",448,"4,031","2,414","3,375",9,,"5,577",221,"3,587","1,911",24,41,17,218,663,44,619,0,,648,15,415,226,5,4,3,10
2016,KS,"2,255",639,115,"1,501",992,"1,262",1,,"2,019",236,"1,505",513,18,65,2,152,169,32,137,0,,151,18,110,49,1,5,1,3
2016,KY,"4,237",787,330,"3,120","1,575","2,656",6,,"4,068",169,"2,895","1,103",3,30,18,188,512,35,477,0,,501,11,346,159,0,1,0,6
2016,LA,"3,994",608,405,"2,981","1,337","2,648",9,,"3,813",181,"1,482","2,319",12,30,10,141,400,18,381,1,,392,8,173,209,0,1,1,16
2016,MA,"19,608","7,764","1,492","10,352","9,446","10,145",17,,"12,660","6,948","11,029","6,154",129,80,83,"2,133",949,67,877,5,,871,78,733,141,1,7,6,61
2016,MD,"7,689","1,705",463,"5,521","2,922","4,760",7,,"6,970",719,"2,688","4,620",34,55,19,273,555,28,526,1,,540,15,202,341,0,2,1,9
2016,ME,"2,241",580,201,"1,460","1,007","1,231",3,,"2,171",70,"1,872",237,9,42,5,76,146,12,133,1,,145,1,129,9,1,1,0,6
2016,MI,"9,316","2,381",956,"5,979","3,854","5,446",16,,"8,792",524,"4,112","4,637",31,89,33,414,822,44,778,0,,803,19,365,426,0,5,2,24
2016,MN,"7,341","2,563",934,"3,844","3,481","3,841",19,,"6,663",678,"2,780","3,306",82,709,72,392,279,17,261,1,,270,9,162,90,4,15,3,5
2016,MO,"6,194","1,676",614,"3,904","2,864","3,324",6,,"5,932",262,"3,457","2,312",23,108,18,276,575,46,529,0,,560,15,315,241,1,10,1,7
2016,MP, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2016,MS,"1,738",266,114,"1,358",712,"1,014",12,,"1,718",20,647,"1,054",7,22,3,5,144,11,133,0,,139,5,70,70,0,3,1,0
2016,MT,"1,418",350,123,945,599,818,1,,"1,306",112,877,25,1,366,6,143,165,16,149,0,,158,7,127,2,0,23,0,13
2016,NC,"9,559","1,994",650,"6,915","3,774","5,773",12,,"9,127",432,"3,974","5,072",31,145,15,322,888,78,808,2,,879,9,430,416,2,14,2,24
2016,ND,923,154,86,683,331,590,2,,844,79,510,129,5,218,1,60,116,8,108,0,,115,1,71,7,1,37,0,0
2016,NE,"2,754",590,258,"1,906",980,"1,771",3,,"2,392",362,"1,858",570,11,67,6,242,219,4,215,0,,212,7,162,43,1,3,0,10
2016,NH,"1,366",321,139,906,601,762,3,,"1,247",119,"1,183",94,2,3,2,82,123,6,117,0,,120,3,114,7,0,0,0,2
2016,NJ,"8,895","2,086",850,"5,959","3,738","5,148",9,,"7,099","1,796","3,835","4,682",56,79,53,190,556,36,520,0,,505,51,243,294,6,5,0,8
2016,NM,"2,263",529,210,"1,524",848,"1,404",11,,"1,386",877,"1,273",181,18,576,16,199,214,15,198,1,,177,37,148,22,1,33,1,9
2016,NV,"7,398",639,"1,424","5,335","1,851","5,541",6,,"6,448",950,"4,329","2,196",189,167,132,385,851,105,746,0,,767,84,534,238,15,19,13,32
2016,NY,"86,352","30,122","8,816","47,414","41,147","44,980",225,,"47,224","39,128","19,365","55,779",945,659,"1,208","8,396","1,248",93,"1,154",1,,"1,079",169,583,628,6,9,5,17
2016,OH,"10,404","2,229",944,"7,231","4,046","6,337",21,,"10,071",333,"5,176","4,632",38,50,9,499,930,56,872,2,,915,15,499,400,3,10,1,17
2016,OK,"4,107",764,427,"2,916","1,615","2,490",2,,"3,893",214,"2,504",880,25,539,7,152,358,27,331,0,,345,13,233,80,0,36,0,9
2016,OR,"13,238","2,566","1,188","9,484","5,286","7,893",59,,"11,820","1,418","10,733",839,85,559,146,876,"1,341",144,"1,191",6,,"1,268",73,"1,122",84,2,62,14,57
2016,PA,"15,339","4,342","1,488","9,509","6,593","8,708",38,,"13,662","1,677","6,647","7,899",63,61,27,642,"1,136",85,"1,051",0,,"1,093",43,650,453,6,4,0,23
2016,PR,"4,418",377,228,"3,813","1,227","3,178",13,,118,"4,300","1,909",738,4,51,14,"1,702",146,8,138,0,,9,137,76,20,1,3,0,46
2016,RI,"1,160",195,89,876,421,738,1,,924,236,767,291,15,17,3,67,89,3,86,0,,80,9,66,17,0,0,0,6
2016,SC,"5,051",820,325,"3,906","1,791","3,257",3,,"4,924",127,"2,159","2,626",21,28,17,200,738,82,656,0,,729,9,319,394,1,3,1,20
2016,SD,"1,072",329,128,615,456,616,0,,"1,026",46,322,72,2,624,5,47,120,10,110,0,,116,4,52,11,0,52,0,5
2016,TN,"8,779","1,298",543,"6,938","3,060","5,700",19,,"8,541",238,"5,140","3,363",23,47,15,191,831,176,653,2,,825,6,419,394,1,0,1,16
2016,TX,"23,122","4,615","1,596","16,911","9,334","13,739",49,,"17,180","5,942","12,795","8,143",233,843,79,"1,029","1,768",166,"1,601",1,,"1,577",191,955,722,10,17,5,59
2016,UT,"2,807",638,179,"1,990","1,043","1,757",7,,"2,223",584,"2,239",242,29,147,32,118,335,21,312,2,,308,27,287,26,3,10,1,8
2016,VA,"6,268","1,432",478,"4,358","2,561","3,700",7,,"5,707",561,"2,545","3,337",84,37,11,254,515,56,459,0,,506,9,225,265,0,3,1,21
2016,VI,341,22,8,311,80,261,0,,304,37,51,257,1,6,1,25,32,1,31,0,,31,1,5,26,0,0,0,1
2016,VT,"1,117",263,125,729,474,640,3,,"1,040",77,968,88,6,12,0,43,110,5,105,0,,108,2,100,6,0,2,0,2
2016,WA,"20,827","4,038","1,767","15,022","7,992","12,781",54,,"17,864","2,963","12,298","4,069",470,"1,123",485,"2,382","1,484",133,"1,341",10,,"1,389",95,913,349,18,61,10,133
2016,WI,"5,685","1,809",558,"3,318","2,592","3,083",10,,"5,211",474,"3,030","2,041",45,204,13,352,415,19,396,0,,400,15,299,97,0,7,0,12
2016,WV,"1,387",220,110,"1,057",481,906,0,,"1,369",18,"1,112",216,1,6,1,51,143,7,136,0,,141,2,105,31,0,1,0,6
2016,WY,857,195,61,601,338,518,1,,736,121,660,39,2,128,0,28,87,2,85,0,,82,5,67,7,0,9,0,4
,Total,"549,928","120,819","50,001","379,108","217,268","330,890","1,770",,"428,629","121,299","265,660","215,177","5,603","15,229","8,734","39,525","39,471","3,328","35,955",188,,"35,913","3,558","22,965","12,987",253,"1,087",331,"1,848"
