Year,State,Overall Homeless,Under 18,Age 18 to 24,Over 24,Female,Male,Transgender,Non-binary,Non-Hispanic/Non-Latin,Hispanic/Latin,White,African American,Asian American,Indigenous,Pacific Islander,Multiple Races,Overall Homeless Veterans,Veterans - Female,Veterans - Male,Veterans - Transgender,Veterans-Non-binary,Veterans - Non-Hispanic/Non-Latin,Veterans - Hispanic/Latin,Veterans - White,Veterans - African American,Veterans - Asian American,Veterans - Indigenous,Veterans - Pacific Islander,Veterans - Multiple Races
2014,PA,15333,4287,1775,9271,6614,8595,89,0,13709,1589,6215,8034,58,82,17,892,1411,109,1298,2,0,1337,71,716,627,3,7,4,51
2014,PR,4132,398,209,3525,457,945,4,0,26,1380,599,133,0,14,24,636,87,2,44,0,0,4,41,29,7,0,1,0,8
2014,RI,1190,251,99,840,462,727,1,0,932,258,786,280,6,11,6,101,108,7,101,0,0,101,7,77,24,0,1,0,6
2014,SC,5057,858,366,3833,2249,2787,21,0,4871,186,2111,2611,10,57,6,262,703,59,644,0,0,687,16,298,365,2,11,0,27
2014,SD,885,247,79,559,361,524,0,0,830,55,409,63,2,410,0,1,132,4,128,0,0,129,3,72,6,0,54,0,0
2014,TN,9415,1390,738,7287,3713,5698,4,0,9224,191,5711,3515,27,27,17,118,1142,145,996,1,0,1061,81,672,453,0,6,0,11
2014,TX,28495,5873,2143,20479,10511,17753,50,0,19627,8687,15610,10825,307,497,146,929,2718,501,2166,3,0,2189,473,1495,1030,17,52,4,64
2014,UT,3081,880,207,1994,1232,1845,4,0,2385,696,2518,253,39,156,35,80,317,15,302,0,0,294,23,279,23,1,11,1,2
2014,VA,7020,1750,599,4671,2829,4182,9,0,6362,658,2859,3639,100,34,8,380,620,83,537,0,0,603,17,256,347,1,4,0,12
2014,VI,448,14,16,418,35,50,0,0,70,15,8,76,0,0,0,1,32,2,1,0,0,0,1,0,1,0,0,0,0
2014,VT,1559,422,197,940,717,842,0,0,1507,52,1430,108,3,11,5,2,120,8,112,0,0,118,2,115,4,0,1,0,0
2014,WA,18442,4360,1752,12330,6796,8884,26,0,13242,2464,9623,2942,254,561,326,2000,1433,109,1229,4,0,1264,76,939,248,14,33,19,87
2014,WI,6055,1970,624,3461,2783,3266,6,0,5593,462,3325,2146,65,167,11,341,520,22,497,1,0,509,11,370,131,0,8,0,11
2014,WV,2013,298,182,1533,740,1272,1,0,1934,79,1532,336,9,24,3,109,333,22,311,0,0,318,15,226,93,1,2,1,10
2014,WY,757,182,71,504,294,462,1,0,655,102,548,41,2,108,0,58,116,6,110,0,0,105,11,96,7,0,8,0,5
2015,AK,1956,411,197,1348,773,1181,2,0,1862,94,745,144,18,883,62,104,180,12,168,0,0,172,8,101,19,1,54,1,4
2015,AL,3970,716,271,2983,1532,2427,11,0,3901,69,1813,2090,5,19,1,42,474,26,447,1,0,465,9,203,261,0,5,0,5
2015,AR,2560,417,243,1900,978,1582,0,0,2143,417,1543,903,7,32,29,46,456,104,352,0,0,365,91,295,143,0,12,4,2
2015,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AZ,9896,2124,824,6948,3966,5916,14,0,7516,2380,6697,1761,57,849,57,475,1220,162,1056,2,0,809,411,907,154,10,107,5,37
2015,CA,115738,13657,11645,90436,38676,76545,517,0,84183,31555,64340,32262,2146,4762,1225,11003,11311,1071,10192,48,0,9602,1709,6340,3135,129,442,104,1161
2015,CO,9953,2528,808,6617,3923,6012,18,0,7006,2947,6638,1948,90,477,34,766,950,77,866,7,0,811,139,704,133,7,63,2,41
2015,CT,4047,827,234,2986,1505,2535,7,0,2923,1124,2164,1570,38,50,124,101,282,23,258,1,0,245,37,154,116,4,2,4,2
2015,DC,7298,2056,736,4506,3087,4198,13,0,6914,384,443,6595,62,28,12,158,408,43,365,0,0,390,18,62,332,4,6,1,3
2015,DE,953,227,81,645,400,553,0,0,899,54,369,513,3,11,3,54,79,5,74,0,0,75,4,33,44,0,0,0,2
2015,FL,35900,6539,2451,26910,12719,23122,59,0,30912,4988,20921,13165,122,376,112,1204,3926,288,3636,2,0,3664,262,2550,1222,10,49,9,86
2015,GA,13790,2500,812,10478,4878,8882,30,0,13089,701,4307,8955,40,30,51,407,1548,154,1394,0,0,1505,43,512,976,3,2,5,50
2015,GU,1280,520,123,637,609,671,0,0,1274,6,11,4,46,1,1191,27,23,0,23,0,0,23,0,5,1,0,0,16,1
2015,HI,7620,1918,531,5171,3174,4426,20,0,6679,941,1852,263,477,95,2978,1955,692,74,617,1,0,621,71,300,64,63,20,124,121
2015,IA,3081,1030,318,1733,1409,1668,4,0,2833,248,1972,803,16,68,17,205,207,26,180,1,0,200,7,158,42,1,3,1,2
2015,ID,1966,484,160,1322,840,1123,3,0,1729,237,1733,69,11,109,16,28,249,24,225,0,0,239,10,231,7,2,7,1,1
2015,IL,13177,3187,1349,8641,5291,7866,20,0,11378,1799,4690,7798,100,53,20,516,1226,60,1166,0,0,809,417,482,714,0,6,1,23
2015,IN,5863,1261,492,4110,2359,3497,7,0,5647,216,3496,2085,17,44,16,205,790,41,747,2,0,769,21,479,277,4,9,3,18
2015,KS,2588,705,175,1708,1132,1453,3,0,2320,268,1664,639,12,108,8,157,311,27,284,0,0,290,21,210,81,0,8,0,12
2015,KY,4538,861,352,3325,1706,2823,9,0,4403,135,3088,1193,7,38,15,197,591,31,558,2,0,579,12,383,182,2,4,2,18
2015,LA,4081,581,443,3057,1373,2694,14,0,3982,99,1536,2395,21,50,14,65,392,31,361,0,0,387,5,177,200,3,4,1,7
2015,MA,21135,8583,2047,10505,10602,10528,5,0,13720,7415,11922,7175,206,100,144,1588,1133,58,1074,1,0,1021,112,877,192,6,7,9,42
2015,MD,8390,1908,664,5818,3245,5139,6,0,7887,503,3016,4920,58,53,36,307,714,39,675,0,0,705,9,280,413,3,6,4,8
2015,ME,2372,637,245,1490,1145,1218,9,0,2297,75,2036,213,6,25,8,84,151,10,140,1,0,149,2,129,14,0,2,0,6
2015,MI,10516,2686,1224,6606,4309,6203,4,0,9986,530,4612,5343,29,79,22,431,1067,65,1001,1,0,1048,19,462,560,1,5,4,35
2015,MN,7546,2607,993,3946,3693,3826,27,0,6937,609,2641,3466,117,663,29,630,297,31,266,0,0,278,19,192,73,1,17,2,12
2015,MO,6482,1903,678,3901,3051,3430,1,0,6229,253,3550,2565,21,41,26,279,540,38,502,0,0,525,15,350,167,2,6,1,14
2015,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MS,1983,340,105,1538,761,1222,0,0,1962,21,577,1372,2,10,14,8,206,14,192,0,0,206,0,88,116,0,1,1,0
2015,MT,1709,374,225,1110,711,996,2,0,1579,130,1281,38,0,321,5,64,277,25,252,0,0,268,9,241,5,0,21,1,9
2015,NC,10685,2295,841,7549,4185,6487,13,0,10147,538,4494,5711,57,173,17,233,1092,79,1013,0,0,1077,15,464,610,1,5,0,12
2015,ND,1305,265,152,888,456,843,6,0,1215,90,774,232,16,184,5,94,137,3,134,0,0,133,4,100,15,1,15,0,6
2015,NE,2744,635,292,1817,1012,1722,10,0,2347,397,1831,586,25,119,16,167,247,9,237,1,0,236,11,182,55,3,5,0,2
2015,NH,1445,382,142,921,616,826,3,0,1325,120,1312,64,6,2,1,60,138,9,129,0,0,134,4,125,7,0,1,0,5
2015,NJ,10098,2404,1074,6620,4156,5930,12,0,8279,1819,4336,5562,97,23,34,46,696,49,647,0,0,632,64,314,377,4,1,0,0
2015,NM,2629,701,205,1723,1086,1537,6,0,1517,1112,1728,213,12,587,17,72,278,16,262,0,0,208,70,212,23,1,30,1,11
2015,NV,8743,1395,1573,5775,2837,5901,5,0,7329,1414,4605,3213,235,187,73,430,860,101,757,2,0,777,83,526,254,17,17,8,38
