Year,State,State name,Overall Homeless,Population,Percent of Population
2021,KY,Kentucky,2544,4507600,0.0006
2021,LA,Louisiana,2131,4627047,0.0005
2021,MA,Massachusetts,15079,6991951,0.0022
2021,MD,Maryland,4550,6175045,0.0007
2021,ME,Maine,2063,1378787,0.0015
2021,MI,Michigan,6757,10038117,0.0007
2021,MN,Minnesota,6775,5717968,0.0012
2021,MO,Missouri,4926,6170393,0.0008
2021,MS,Mississippi,626,2949582,0.0002
2021,MT,Montana,1801,1106366,0.0016
2021,NC,North Carolina,7249,10567100,0.0007
2021,ND,North Dakota,548,777982,0.0007
2021,NE,Nebraska,1935,1964253,0.001
2021,NH,New Hampshire,1491,1387494,0.0011
2021,NJ,New Jersey,8262,9269175,0.0009
2021,NM,New Mexico,2747,2116950,0.0013
2021,NV,Nevada,7090,3146632,0.0023
2021,NY,New York,78920,19854526,0.004
2021,OH,Ohio,7915,11765227,0.0007
2021,OK,Oklahoma,2694,3991634,0.0007
2021,OR,Oregon,9048,4256465,0.0021
2021,PA,Pennsylvania,10339,13013614,0.0008
2021,RI,Rhode Island,1267,1097092,0.0012
2021,SC,South Carolina,3207,5193848,0.0006
2021,SD,South Dakota,817,896299,0.0009
2021,TN,Tennessee,6823,6963709,0.001
2021,TX,Texas,17295,29561286,0.0006
2021,UT,Utah,3565,3339284,0.0011
2021,VA,Virginia,5812,8657348,0.0007
2021,VT,Vermont,2591,647093,0.004
2021,WA,Washington,11511,7741433,0.0015
2021,WI,Wisconsin,4237,5879978,0.0007
2021,WV,West Virginia,1138,1785249,0.0006
2021,WY,Wyoming,405,579548,0.0007
2020,AK,Alaska,1949,733391,0.0027
2020,AL,Alabama,3351,5024279,0.0007
2020,AR,Arkansas,2366,3011524,0.0008
2020,AZ,Arizona,10979,7151502,0.0015
2020,CA,California,161548,39538223,0.0041
2020,CO,Colorado,9846,5773714,0.0017
2020,CT,Connecticut,2905,3605944,0.0008
2020,DC,District of Columbia,6380,689545,0.0093
2020,DE,Delaware,1165,989948,0.0012
2020,FL,Florida,27487,21538187,0.0013
2020,GA,Georgia,10234,10711908,0.001
2020,HI,Hawaii,6458,1455271,0.0044
2020,IA,Iowa,2647,3271616,0.0008
2020,ID,Idaho,2315,1839106,0.0013
2020,IL,Illinois,10431,12801989,0.0008
2020,IN,Indiana,5625,6785528,0.0008
2020,KS,Kansas,2449,2937880,0.0008
2020,KY,Kentucky,4011,4505836,0.0009
2020,LA,Louisiana,3173,4657757,0.0007
2020,MA,Massachusetts,17975,7029917,0.0026
2020,MD,Maryland,6360,6177224,0.001
2020,ME,Maine,2097,1362359,0.0015
2020,MI,Michigan,8638,10077331,0.0009
2020,MN,Minnesota,7940,5706494,0.0014
2020,MO,Missouri,6527,6154913,0.0011
2020,MS,Mississippi,1107,2961279,0.0004
2020,MT,Montana,1545,1084225,0.0014
2020,NC,North Carolina,9280,10439388,0.0009
2020,ND,North Dakota,541,779094,0.0007
2020,NE,Nebraska,2404,1961504,0.0012
2020,NH,New Hampshire,1675,1377529,0.0012
2020,NJ,New Jersey,9662,9288994,0.001
2020,NM,New Mexico,3333,2117522,0.0016
2020,NV,Nevada,6900,3104614,0.0022
2020,NY,New York,91271,20201249,0.0045
2020,OH,Ohio,10655,11799448,0.0009
2020,OK,Oklahoma,3932,3959353,0.001
2020,OR,Oregon,14655,4237256,0.0035
2020,PA,Pennsylvania,13375,13002700,0.001
2020,RI,Rhode Island,1104,1097379,0.001
2020,SC,South Carolina,4287,5118425,0.0008
2020,SD,South Dakota,1058,886667,0.0012
2020,TN,Tennessee,7256,6910840,0.001
2020,TX,Texas,27229,29145505,0.0009
2020,UT,Utah,3131,3205958,0.001
2020,VA,Virginia,5957,8631393,0.0007
2020,VT,Vermont,1110,643077,0.0017
2020,WA,Washington,22923,7705281,0.003
2020,WI,Wisconsin,4515,5893718,0.0008
2020,WV,West Virginia,1341,1793716,0.0007
2020,WY,Wyoming,612,576851,0.0011
2019,AK,Alaska,1907,731545,0.0026
2019,AL,Alabama,3261,4903185,0.0007
2019,AR,Arkansas,2717,3017804,0.0009
2019,AZ,Arizona,10007,7278717,0.0014
2019,CA,California,151278,39512223,0.0038
2019,CO,Colorado,9619,5758736,0.0017
2019,CT,Connecticut,3033,3565287,0.0009
2019,DC,District of Columbia,6521,705749,0.0092
2019,DE,Delaware,921,973764,0.0009
2019,FL,Florida,28328,21477737,0.0013
2019,GA,Georgia,10443,10617423,0.001
2019,HI,Hawaii,6412,1415872,0.0045
2019,IA,Iowa,2315,3155070,0.0007
2019,ID,Idaho,2315,1787065,0.0013
2019,IL,Illinois,10199,12671821,0.0008
2019,IN,Indiana,5471,6732219,0.0008
2019,KS,Kansas,2381,2913314,0.0008
2019,KY,Kentucky,4079,4467673,0.0009
2019,LA,Louisiana,2941,4648794,0.0006
2019,MA,Massachusetts,18471,6892503,0.0027
2019,MD,Maryland,6561,6045680,0.0011
2019,ME,Maine,2106,1344212,0.0016
2019,MI,Michigan,8575,9986857,0.0009
2019,MN,Minnesota,7977,5639632,0.0014
2019,MO,Missouri,6179,6137428,0.001
2019,MS,Mississippi,1184,2976149,0.0004
2019,MT,Montana,1357,1068778,0.0013
2019,NC,North Carolina,9314,10488084,0.0009
2019,ND,North Dakota,557,762062,0.0007
2019,NE,Nebraska,2365,1934408,0.0012
2019,NH,New Hampshire,1396,1359711,0.001
2019,NJ,New Jersey,8862,8882190,0.001
2019,NM,New Mexico,3241,2096829,0.0015
2019,NV,Nevada,7169,3080156,0.0023
2019,NY,New York,92091,19453561,0.0047
2019,OH,Ohio,10345,11689100,0.0009
2019,OK,Oklahoma,3944,3956971,0.001
2019,OR,Oregon,15876,4217737,0.0038
2019,PA,Pennsylvania,13199,12801989,0.001
2019,RI,Rhode Island,1055,1059361,0.001
2019,SC,South Carolina,4172,5148714,0.0008
2019,SD,South Dakota,995,884659,0.0011
2019,TN,Tennessee,7467,6829174,0.0011
2019,TX,Texas,25848,28995881,0.0009
2019,UT,Utah,2798,3205958,0.0009
2019,VA,Virginia,5783,8535519,0.0007
2019,VT,Vermont,1089,623989,0.0017
2019,WA,Washington,21577,7614893,0.0028
2019,WI,Wisconsin,4538,5822434,0.0008
2019,WV,West Virginia,1397,1792147,0.0008
2019,WY,Wyoming,548,578759,0.0009
2018,AK,Alaska,2016,735139,0.0027
2018,AL,Alabama,3434,4887681,0.0007
2018,AR,Arkansas,2712,3009733,0.0009
2018,AZ,Arizona,9865,7158024,0.0014
2018,CA,California,129972,39461588,0.0033
2018,CO,Colorado,10857,5691287,0.0019
2018,CT,Connecticut,3976,3571520,0.0011
2018,DC,District of Columbia,6904,701547,0.0098
2018,DE,Delaware,1082,965479,0.0011
2018,FL,Florida,31030,21244317,0.0015
2018,GA,Georgia,9499,10511131,0.0009
2018,HI,Hawaii,6530,1420593,0.0046
2018,IA,Iowa,2749,3148618,0.0009
2018,ID,Idaho,2012,1750536,0.0011
2018,IL,Illinois,10643,12723071,0.0008
2018,IN,Indiana,5258,6695497,0.0008
2018,KS,Kansas,2216,2911359,0.0008
2018,KY,Kentucky,3688,4461153,0.0008
2018,LA,Louisiana,3059,4659690,0.0007
2018,MA,Massachusetts,20068,6882635,0.0029
2018,MD,Maryland,7144,6035802,0.0012
2018,ME,Maine,2516,1339057,0.0019
2018,MI,Michigan,8351,9984072,0.0008
2018,MN,Minnesota,7243,5606249,0.0013
2018,MO,Missouri,5883,6121623,0.001
2018,MS,Mississippi,1352,2981020,0.0005
2018,MT,Montana,1405,1060665,0.0013
2018,NC,North Carolina,9268,10381615,0.0009
2018,ND,North Dakota,542,758080,0.0007
2018,NE,Nebraska,2421,1925614,0.0013
2018,NH,New Hampshire,1450,1353465,0.0011
2018,NJ,New Jersey,9398,8886025,0.0011
2018,NM,New Mexico,2551,2092741,0.0012
2018,NV,Nevada,7544,3027341,0.0025
2018,NY,New York,91897,19530351,0.0047
2018,OH,Ohio,10249,11676341,0.0009
2018,OK,Oklahoma,3871,3940235,0.001
2018,OR,Oregon,14476,4181886,0.0035
2018,PA,Pennsylvania,13512,12800922,0.0011
2018,RI,Rhode Island,1101,1058287,0.001
2018,SC,South Carolina,3933,5084156,0.0008
2018,SD,South Dakota,1159,878698,0.0013
2018,TN,Tennessee,7883,6771631,0.0012
2018,TX,Texas,25310,28628666,0.0009
2018,UT,Utah,2876,3153550,0.0009
2018,VA,Virginia,5975,8501286,0.0007
2018,VT,Vermont,1291,624358,0.0021
2018,WA,Washington,22304,7523869,0.003
2018,WI,Wisconsin,4907,5807406,0.0008
2018,WV,West Virginia,1243,1804291,0.0007
2018,WY,Wyoming,639,577601,0.0011
2017,AK,Alaska,1845,739700,0.0025
2017,AL,Alabama,3793,4874486,0.0008
2017,AR,Arkansas,2467,3001345,0.0008
2017,AZ,Arizona,8947,7044008,0.0013
2017,CA,California,131532,39358497,0.0033
2017,CO,Colorado,10940,5611885,0.0019
2017,CT,Connecticut,3388,3573297,0.0009
2017,DC,District of Columbia,7473,694906,0.0108
2017,DE,Delaware,994,956823,0.001
2017,FL,Florida,32190,20963613,0.0015
2017,GA,Georgia,10174,10410330,0.001
2017,HI,Hawaii,7220,1424393,0.0051
2017,IA,Iowa,2756,3141550,0.0009
2017,ID,Idaho,2037,1717715,0.0012
2017,IL,Illinois,10798,12778828,0.0008
2017,IN,Indiana,5438,6658078,0.0008
2017,KS,Kansas,2287,2908718,0.0008
2017,KY,Kentucky,4025,4452268,0.0009
2017,LA,Louisiana,3305,4670560,0.0007
2017,MA,Massachusetts,17565,6859789,0.0026
2017,MD,Maryland,7247,6023868,0.0012
2017,ME,Maine,2280,1334612,0.0017
2017,MI,Michigan,9051,9973114,0.0009
2017,MN,Minnesota,7668,5566230,0.0014
2017,MO,Missouri,6037,6106670,0.001
2017,MS,Mississippi,1472,2988510,0.0005
2017,MT,Montana,1529,1052482,0.0015
2017,NC,North Carolina,8962,10268233,0.0009
2017,ND,North Dakota,1089,754942,0.0014
2017,NE,Nebraska,2501,1915947,0.0013
2017,NH,New Hampshire,1456,1348787,0.0011
2017,NJ,New Jersey,8536,8885525,0.001
2017,NM,New Mexico,2482,2091784,0.0012
2017,NV,Nevada,7833,2969905,0.0026
2017,NY,New York,89503,19589572,0.0046
2017,OH,Ohio,10095,11659650,0.0009
2017,OK,Oklahoma,4199,3931316,0.0011
